A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=86840, episodic_return=4.0, episodic_length=1210
global_step=86920, episodic_return=2.0, episodic_length=809
global_step=87000, episodic_return=0.0, episodic_length=532
global_step=87520, episodic_return=2.0, episodic_length=838
global_step=87984, episodic_return=4.0, episodic_length=1220
global_step=88024, episodic_return=0.0, episodic_length=563
global_step=88184, episodic_return=2.0, episodic_length=840
global_step=88272, episodic_return=2.0, episodic_length=810
global_step=88456, episodic_return=2.0, episodic_length=811
global_step=88872, episodic_return=5.0, episodic_length=1405
global_step=88928, episodic_return=1.0, episodic_length=711
global_step=89080, episodic_return=3.0, episodic_length=1052
global_step=89984, episodic_return=3.0, episodic_length=1012
global_step=90272, episodic_return=3.0, episodic_length=1025
global_step=90472, episodic_return=4.0, episodic_length=1240
global_step=90496, episodic_return=3.0, episodic_length=1028
global_step=90512, episodic_return=2.0, episodic_length=813
global_step=90528, episodic_return=2.0, episodic_length=845
global_step=90592, episodic_return=4.0, episodic_length=1212
global_step=91536, episodic_return=0.0, episodic_length=509
global_step=91968, episodic_return=5.0, episodic_length=1440
global_step=92016, episodic_return=3.0, episodic_length=1040
global_step=92064, episodic_return=2.0, episodic_length=791
global_step=92128, episodic_return=2.0, episodic_length=837
update 90/9765 | step 92160/10000000 | SPS 489 | pg_loss -0.0078 | v_loss 0.0180 | entropy 1.1327
global_step=92528, episodic_return=3.0, episodic_length=1000
global_step=92992, episodic_return=4.0, episodic_length=1209
global_step=93048, episodic_return=5.0, episodic_length=1398
global_step=93072, episodic_return=0.0, episodic_length=509
global_step=93136, episodic_return=2.0, episodic_length=807
global_step=93592, episodic_return=2.0, episodic_length=820
global_step=93728, episodic_return=2.0, episodic_length=797
global_step=94024, episodic_return=3.0, episodic_length=999
global_step=94056, episodic_return=0.0, episodic_length=528
global_step=94112, episodic_return=0.0, episodic_length=525
global_step=94200, episodic_return=2.0, episodic_length=832
global_step=94200, episodic_return=0.0, episodic_length=532
global_step=94776, episodic_return=0.0, episodic_length=524
global_step=95056, episodic_return=0.0, episodic_length=495
global_step=95104, episodic_return=3.0, episodic_length=1037
global_step=95608, episodic_return=3.0, episodic_length=1029
global_step=95616, episodic_return=2.0, episodic_length=809
global_step=95800, episodic_return=2.0, episodic_length=807
global_step=95800, episodic_return=0.0, episodic_length=511
global_step=95816, episodic_return=2.0, episodic_length=805
global_step=96104, episodic_return=0.0, episodic_length=511
global_step=96136, episodic_return=3.0, episodic_length=1036
global_step=96640, episodic_return=0.0, episodic_length=528
global_step=96664, episodic_return=2.0, episodic_length=807
global_step=96848, episodic_return=0.0, episodic_length=511
global_step=96848, episodic_return=0.0, episodic_length=524
global_step=97184, episodic_return=0.0, episodic_length=563
global_step=97224, episodic_return=2.0, episodic_length=817
global_step=97688, episodic_return=0.0, episodic_length=511
global_step=97712, episodic_return=0.0, episodic_length=533
global_step=97888, episodic_return=0.0, episodic_length=535
global_step=98264, episodic_return=0.0, episodic_length=565
global_step=98312, episodic_return=4.0, episodic_length=1260
global_step=98888, episodic_return=0.0, episodic_length=523
global_step=98896, episodic_return=3.0, episodic_length=1033
global_step=98960, episodic_return=5.0, episodic_length=1426
global_step=99360, episodic_return=0.0, episodic_length=528
global_step=99624, episodic_return=4.0, episodic_length=1221
global_step=99736, episodic_return=3.0, episodic_length=1021
global_step=99888, episodic_return=2.0, episodic_length=809
global_step=99904, episodic_return=0.0, episodic_length=512
global_step=99920, episodic_return=0.0, episodic_length=533
global_step=100024, episodic_return=0.0, episodic_length=555
global_step=100152, episodic_return=4.0, episodic_length=1250
global_step=100400, episodic_return=0.0, episodic_length=528
global_step=101360, episodic_return=2.0, episodic_length=824
global_step=101496, episodic_return=2.0, episodic_length=812
global_step=101552, episodic_return=2.0, episodic_length=823
global_step=101632, episodic_return=2.0, episodic_length=809
global_step=101704, episodic_return=3.0, episodic_length=1037
global_step=102048, episodic_return=2.0, episodic_length=833
update 100/9765 | step 102400/10000000 | SPS 489 | pg_loss -0.0037 | v_loss 0.0605 | entropy 1.1441
global_step=102544, episodic_return=4.0, episodic_length=1204
global_step=102616, episodic_return=0.0, episodic_length=535
global_step=102720, episodic_return=0.0, episodic_length=557
global_step=103192, episodic_return=9.0, episodic_length=1642
global_step=103344, episodic_return=3.0, episodic_length=1004
global_step=103512, episodic_return=3.0, episodic_length=1020
